RecordType;Schema;Name;Type;Id;LoC;References;Dependencies;Abstraction;Instability
1;TKMTS;TR_BU_CO_CONTRACT_PUBLISH_AU;TRIGGER;30702113;41;0;0;0.024390243902439025;0
1;TKMTS;MVW_STATEMENT_CXLCONTRACT;MATERIALIZED VIEW;30711508;0;0;2;0;1.0
1;TKMTS;MVW_STATEMENT_AREAS;MATERIALIZED VIEW;30741485;0;0;0;0;0
1;TKMTS;PAC_XML_CONTRACT_RI;PACKAGE;30783442;9125;1;0;0.00010958904109589041;0.0
1;TKMTS;PAC_XML_CONTRACT_RI;PACKAGE BODY;30783443;9125;0;22;0.00010958904109589041;1.0
1;TKMTS;PAC_MAINTENANCE_UTILS;PACKAGE;30788136;3111;1;0;0.0003214400514304082;0.0
1;TKMTS;PAC_MAINTENANCE_UTILS;PACKAGE BODY;30788137;3111;0;6;0.0003214400514304082;1.0
1;TKMTS;TR_AUD_LOG_MAINTENANCE_TRC;TRIGGER;30788139;76;0;0;0.013157894736842105;0
1;TKMTS;PAC_DYNAMIC_QUERY_GROUPING_RI;PACKAGE BODY;30852647;4067;0;3;0.00024588148512417015;1.0
1;TKMTS;PAC_DYNAMIC_QUERY_GROUPING_RI;PACKAGE;30852646;4067;1;0;0.00024588148512417015;0.0
1;TKMTS;PAC_ESB_EPA_RI;PACKAGE;30834647;728;1;0;0.0013736263736263737;0.0
1;TKMTS;PAC_ESB_EPA_RI;PACKAGE BODY;30834646;728;0;4;0.0013736263736263737;1.0
